  1	21.38	28.00	8.488	6.48
  2	21.50	27.90	8.488	6.54
  3	19.30	27.67	8.772	6.12
  4	19.00	27.60	8.474	5.83
  5	18.00	27.80	8.500	5.50
  6	24.30	27.70	8.480	7.44
  7	26.00	27.65	8.488	7.98
  8	27.00	27.70	8.489	8.27
  9	27.65	27.50	8.489	8.54
 10	28.50	27.60	8.490	8.77
 11	20.00	27.55	8.491	6.16
 12	19.00	27.50	8.493	5.87
 13	19.50	27.60	8.495	6.00
 14	22.50	27.55	8.495	6.94
 15	23.56	27.60	8.495	7.25
 16	23.80	27.60	8.496	7.33
 17	24.30	27.55	8.497	7.49
 18	24.50	27.50	8.498	7.57
 19	28.20	27.50	8.498	8.71
 20	30.01	27.50	8.500	9.28
%100	36.50	27.78	8.769
