  1	13.60	8.0	1.866	3.17
  2	11.70	7.6	1.865	2.87
  3	12.80	7.8	1.865	3.06
  4	14.50	7.6	1.865	3.56
  5	13.60	7.5	1.865	3.38
  6	15.00	7.3	1.865	3.83
  7	 9.80	7.5	1.865	2.44
  8	 8.74	7.4	1.865	2.20
  9	 8.60	7.4	1.865	2.17
 10	 8.60	7.4	1.865	2.17
 11	 9.20	7.4	1.865	2.32
 12	 9.60	7.4	1.865	2.42
 13	10.00	7.4	1.865	2.52
 14	10.10	7.4	1.865	2.55
 15	10.10	7.4	1.865	2.55
 16	10.30	7.4	1.865	2.60
 17	11.00	7.4	1.865	2.77
 18	10.60	7.4	1.865	2.67
 19	11.00	7.4	1.865	2.77
 20	11.50	7.4	1.865	2.90
%100	19.00	7.2	1.865
